fiscalDateEnding,ROE,DebtToEquity,ProfitMargin,OperatingCashFlowToDebt
2024-09-30,1.6459350307287095,1.6973134328358208,0.23971255769943867,0.38390416517871634
2023-09-30,1.5607601454639075,1.6912271103530396,0.25568601193614376,0.38060921989966845
2022-09-30,1.9695887275023682,2.172541048310704,0.2549917347348089,0.4043623772274507
2021-09-30,1.5007132667617689,1.8814392138215248,0.26070291762580816,0.3613534691155631
2020-09-30,0.8786635853012749,1.9264604600621376,0.21134802423778357,0.3120259602628515
2019-09-30,0.6106445053487756,1.3013880293519582,0.21534072751931035,0.27977083232538263
2018-09-30,0.5556011834209077,1.0451435877812725,0.22414202074587247,0.29946089767884354
2017-09-30,0.3607018433832909,0.8399740389564854,0.21092420845075338,0.2661933419543088
2016-09-30,0.3562366958026963,0.6643326653619132,0.211867983064288,0.34239054575908434
2015-09-30,0.44735453060198566,0.4809182690293662,0.22917650290580388,0.47526755950640387
2014-09-30,0.3542004715501089,0.25986355527266536,0.21659877967885707,0.9072340637781399
2013-09-30,0.29977579745687943,0.1372734704449247,0.2168772764003888,0.6430839654407976
2012-09-30,0.35304119786820065,0.0,0.26665090602397323,0.8790403429322087
2011-09-30,0.3383410559289956,,0.2394664153941376,0.943983298118523
2010-09-30,0.2932142035111213,,0.21484093522422384,0.6788478387850467
2009-09-30,0.2602718078381795,,0.1919356718331197,0.6405018599079503
